[0] #InstanceTicker (Type-1) Ver.201903050014.tsv - (c)weepjp (c)kyori19 MIT License.	[1] ScreenName	[2] DomainName	[3] FontColor	[4] BackGroundColor	[5] ImgPath	[6] ImgWidth	[7] ImgLicense	[8] WikiURL	[9] UsersVoiceURL	[10] ImgLicenseURL	[11] AdminsVoiceURL	[12] Missingno.12	[13] Missingno.13
0	senooken.jp	social.senooken.jp	#fff	#c77	https://wee.jp/f/social.senooken.jp	18	(favicon.ico)						
0	js4.in	js4.in	#fff	#c77	https://wee.jp/f/js4.in	18	(favicon.ico)						
0	quitter.im	quitter.im	#fff	#c77	https://wee.jp/f/quitter.im	18	(favicon.ico)						
0	bitcast.info	social.bitcast.info	#fff	#c77	https://wee.jp/f/social.bitcast.info	18	(favicon.ico)						
0	nu.federati.net	nu.federati.net	#fff	#c77	https://wee.jp/f/nu.federati.net	18	(favicon.ico)						
0	bot.undernet.uy	bot.undernet.uy	#fff	#c77	https://wee.jp/f/bot.undernet.uy	18	(favicon.ico)						
1	閉鎖済み	theboss.tech	#fff	#666	https://wee.jp/f/theboss.tech	18	(favicon.ico)	https://ja.mstdn.wiki/Theboss.tech					
1	閉鎖済み	masi.theboss.tech	#fff	#666	https://wee.jp/f/masi.theboss.tech	18	(favicon.ico)	https://ja.mstdn.wiki/Theboss.tech					
1	閉鎖済み	pptdn.popnja.com	#fff	#666	https://wee.jp/f/pptdn.popnja.com	18	(favicon.ico)		https://pptdn.popnja.com/@popn_ja/101170529451258116				
1	閉鎖済み	mikuspot.net	#fff	#666	https://wee.jp/f/mikuspot.net	18	(favicon.ico)	https://ja.mstdn.wiki/MIKUSPOT					
1	閉鎖済み	mstdn.nieein56.xyz	#fff	#666	https://wee.jp/f/mstdn.nieein56.xyz	18	(favicon.ico)						
1	閉鎖済み	fumufu.xyz	#fff	#666	https://wee.jp/f/fumufu.xyz	18	(favicon.ico)						
1	閉鎖済み	newjack.city	#fff	#666	https://wee.jp/f/newjack.city	18	(favicon.ico)						
1	閉鎖済み	mobile.st	#fff	#666	https://wee.jp/f/mobile.st	18	(favicon.ico)						
2	閉鎖済み	bofa.lol	#fff	#666	https://wee.jp/f/bofa.lol	18	(favicon.ico)						
2	閉鎖済み	ika.moe	#fff	#666	https://wee.jp/f/ika.moe	18	(favicon.ico)	https://ja.mstdn.wiki/Ika.moe					
2	閉鎖済み	843.pl	#fff	#666	https://wee.jp/f/843.pl	18	(favicon.ico)						
