0	sns	host	domain	text	width	tcolor	bcolor	scolor	bicon	sicon	eicon	iicon	url	entry	exity	icon
1	0			Mastodon (jp)	16	#fff	#26a	#26a					https://ja.mstdn.wiki/?curid=101			data:image/webp;base64,UklGRuoAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSJAAAAABgGJb27Lqpbkk6O42BZsHJLqTiFQWyd11AppYNKt23d39ft/bvjFExARwjLHp/pmQ5904quXY5z+EIiJS8jMxF76Q8TV1QVj+zv+R+R+Z6S+lLP/3n0y/mwvC8t1a/DI8ty3ZLzzJpYazYSXulYPjFm88EoVRKQUA4Aae8HiQSDb8MgAArru2e/9+Wvv4AABWUDggNAAAAPABAJ0BKg4ADgALAMAlsAJ0AR/UNERgAADJLW7+u2S+siutUjKCfhwKtJtJGYwmq86AAAA=
2	0			Mastodon	16	#fff	#46a	#46a					https://ja.mstdn.wiki/?curid=101			data:image/webp;base64,UklGRvQAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSJ0AAAABgFpt2/Lm/VUSyYqZYYVEZQdGmZKu4nYBUswSPeMEVVzHzM9T+jtDREyA4mnMb16RZyPDRZsSWHj//CSJD+x3udrf+M+9xtIHSZAg+bl0CRIESBKXJEE1AGogXh//+A3iYveTquDd+Py7Gm+HYvV3nk9NbOytTPRXrBLa5kHNHkk69SIi2uze62FXKjPQYRERRZNefbo5Pz9s04kIAFZQOCAwAAAA8AEAnQEqDgAOAApAuCWwAnQBFNxxkVAAAM3HRN2+Vv9wgwO/EtCsqVs19hh0G+AA
3	0			Pleroma	16	#da5	#333	#333					https://ja.mstdn.wiki/?curid=1006			data:image/webp;base64,UklGRsAAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSBcAAAABDzD/ERGCTNqmTurfZL8xCxH9j7zkAgBWUDggggAAAHACAJ0BKg4ADgADgF4liAJ0EaAMKZcYzlKHBoAA/oogbK5H/IHA/mc09DWz0/8CzvQYBnrn2dN12ArvSVmcXGnSARvX959vTGl6xK69CWBYnaPIxFks/pOnkiCFaGD7JuaP9yN8350qqrOcLu7iiPr8esm95Db+t+iu0LOPYbymgAA=
4	0			Misskey	16	#9c0	#332	#333					https://ja.mstdn.wiki/?curid=1909			data:image/webp;base64,UklGRuYAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSJgAAAABgFvb1rLo4ZC6O6RelMWSEUNGpKG7SwEsCnCnABh3lzs+LUTEBNA/WVblN6ZVQVKb2LMqm4nIvUq7Itv4A9DTkfcBL80R3gC8F0JHAKLRfR0AHh8AIBg8xL793Bri/A/vgwW+377g7A3vg/kPjUTffwMMF8AjEOBLhMd47Y3x5tsULUS8wDbnCu9SLJuSiEhgU5LUJqF/AlZQOCAoAAAAcAEAnQEqDgAOAAgAoiWwAnQBdQAA/sqzKfXEFFij4uzoIu1F4FwAAA==
5	0			PeerTube	16	#000	#fff	#fff					https://ja.mstdn.wiki/?curid=1443			data:image/webp;base64,UklGRoIAAABXRUJQVlA4IHYAAAAwAwCdASoOAA4AAwBWJQBOj+EEAljMcmCLOrPXz2e546AAAP0DtjV6v3qdTir5EOWfU19ZsI59vBdo9wqjkE95tneGxloa0Tw9K/fOFIMyoozqAYzd2SHS9CF1GWlEuWy9UewjVLRX/hbwBK8lNYNUwxhbCKAA
6	0			GNU Social	16	#fff	#a22	#a23					https://ja.mstdn.wiki/?curid=1004			data:image/webp;base64,UklGRnoAAABXRUJQVlA4IG4AAAAQAgCdASoOAA4ABABqJaQAD45RdM+GjFTAAM47W5f5g46c+cQE+JH13mSMaSm5Zhv2roeJXuA8r3pYdMxCgFnG0EcnCqagI9uvJ5K3/30wlE4SX7h4XK4Va51PCGTxSNfZHkx1xCRebh106AAAAA==
7	0			Write Freely	16	#000	#5ce	#fff					https://ja.mstdn.wiki/?curid=2448			data:image/webp;base64,UklGRgIBAABXRUJQVlA4WAoAAAAQAAAADwAADwAAQUxQSCYAAAABDzD/ERFCUSQpztjihRveOMAYwi5HExH9nwCAlBXf0CfK/tz4AVZQOCC2AAAA8AIAnQEqEAAQAAHALCWcAEQgWBXj5eYH9mOBpFaooAAA/vkH+/PPxKNQsd5AgcJa4s+YaSqOiet1uj2NehOIvP8P0QwPoDw0lciPzarp/Zib/5s18LqHmM2idHMaonm4//ts8vbGBh5fTvP7xHLX2elw2IyysNykYx01+J4DwnIS++u4i423je/rpzep9tMvvYdTN6fGcLHFbaSn+OlWMwAgtmKVy2dVwva/DpBP1/fpjG+OIgA=
8	0			Pixelfed	16	#fff	#f55	#f55					https://ja.mstdn.wiki/?curid=2202			data:image/webp;base64,UklGRhQBAABXRUJQVlA4WAoAAAAQAAAADwAADwAAQUxQSCIAAAABDzD/ERFCTSMpkISTcFKQhmXKH0osRPQ/Dc6W1XtXW5wGVlA4IMwAAADwAwCdASoQABAAAcAsJbACdEyZ7pnwAHSJ/sl6MBMxmBsKKNWrR0SAAP40NzsqV4/6MQGlHO9MCm7TZSYPGdaGpe1Uui3sFagnBHetLOGjavZPdODZp8wMTaA6128YxNHLOkfGOWwn85kN4VA61URtQUbA1HYEm7lVhb7x23fg7Z13NX/jNnQcdG4f+w9SLKOgJkGH9ouJ9/tkMa/rSKf/2YZH/yTSPI8Vj//g0dNcs3AF7DhP88f8U1nUPS5H437/rKn/xj8CI4AAAAA=
9	0			Microblog.pub	16	#fff	#171	#171					https://ja.mstdn.wiki/?curid=2220			data:image/webp;base64,UklGRqgAAABXRUJQVlA4IJwAAABwAwCdASoQABAAAcAsJZQBTAGgq8oL5a9gD9NN8AOtLlaIQAAA/v7Cy90Ap5Wcg9/euJt5motLvRfj05lh2I0k/TqqP/Hb/DKnH//LNbpK6PBaBU+92AzbfVCBLtpTHlk5olqNo9qPIcJxWsqZj3nNZGHD9TOxfd/Xl8tDUMNTh/7lGxgwUj5/8hdOmvi9zW/WZ4aBuPpEBJ69/AA=
10	0															
11	0			Bookwyrm	16	#1eb	#03c	#03c					https://docs.joinbookwyrm.com/			data:image/webp;base64,UklGRjgBAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSLsAAAABgHPb2jFX9zMzMSonnW27sm27ZJfSqlLaRumUZml7bPMJ3oiYAKBFzks+uryMgRh7hxy6kt4e5p5kBxaTeFxVtK9F7plgOM75g5NvWTTIlSIi99D5XTQ0wbmXKPCze2nbYgLFCvy/6+DgBdEPOiQeh+gBQOCOjqDd6w0He7tW6T+dDudKstY3TvA/l46Neo/b63IC4x3LqOy0DAlBq3sOAMblFb21j6fRaOm1+pBxzWyimXu3TXZEGAIAAFZQOCBWAAAAEAIAnQEqDgAOAAgAoiWIAnQA6TLH8WRGwAD+VSf48v9W2IzsNahNCaSrfFeDpbIXRnJgo5kQ978kJ+ZiAYdJ9B+tYZ8GaZfPSq43OpsStYBQtb2VwAA=
12	0			Socialhome	16	#444	#2cb	#2cb					https://ja.mstdn.wiki/?curid=2621			data:image/webp;base64,UklGRi4BAABXRUJQVlA4WAoAAAAQAAAADwAADwAAQUxQSIgAAAABgFvb1rLow93pwF0ydzIWoRfgTkwBhBCSagyZO9TgmjLawKw3bhVExASgj5b2cRQkos+x3hV8fKwIEEK0yAa+fhn4CFf44dRY+qGUXqvV9MVarVZzZavVMuIDQGgJAJDsAjz/jc7ttn+vc3+//t4U4IbY2+3W09put9vwJ4TI16pPmPB14Z8AVlA4IIAAAABQAgCdASoQABAAAcAsJbACdAYsZ29L88+9B+AA/u7xx29EJ5RyyQTtH30+LKhlEg/X34rZWl3fUNbaC1QskBCKa+8xyl8+LizB76xBw6KoS9Q8zbv9k7Y3sNZvc9fcBD1bhyG335v4nfFcea+ebIP4WfzxcY/g3+nJlf+clwO0AA==
13	0			Dolphin	16	#ddd	#346	#346					https://ja.mstdn.wiki/?curid=2609			data:image/webp;base64,UklGRvgAAABXRUJQVlA4WAoAAAAQAAAADwAADwAAQUxQSLUAAAABgKtt//nlyXUA3DzZtnEA3nwI5uTmGrvabLvpP2Vsmppsv+HX7xgiYgKIv1zwa995fD8dSOVvq0xOOwPubyYOLO5QI5OZvZvW7k8Gdw/qDy6Z+Squ1d8Fty1ZgJThlT8LdqQOJgE4nUi6cQVsMDyT1INj20WY0YakDKsZLWHcIsknT5r6x/NN8uuSHj0Aa6BDyu+UdF6e3l4K2C1oNEuGn74Ajn2fccMG7RhHVts1nH0cV1kBAFZQOCAcAAAAcAEAnQEqEAAQAA/A/iWQAnQBQAAA5C0/Vh+AAA==
14	0			Plume	16	#fff	#659	#659					https://ja.mstdn.wiki/?curid=2347			data:image/webp;base64,UklGRhgBAABXRUJQVlA4WAoAAAAQAAAADwAADwAAQUxQSD8AAAABFyAQSPLn2W+NiAgHNpFkS+kiAx+3n3+EL0bFN8HXQKHz4yGi/8OAl9a1+xFpVdMqp7mlUYymSP94kT86LgAAVlA4ILIAAAAQAwCdASoQABAAAcAsJbAAdpWRBHkSb4B+gB2p/BzrLQAA/o0lTUCugE2+S7QrFc8iuuRuX3rO4nk6vIx6uXLAkCPHvuFq0w5N+A1/a5JWp+7QP5GWPvyf3Mj39ccnT7Tj/+//7tpQ2MmuBU41Km0MwNcvD/e0VaF08Wiqrf/Z7/7vm1FSE/+JN/97deYeKglrNcE6/+I4jscbNP7DnEfn9keP7yh8/n9oHdlxIKUDy/gA
15	0			Friendica	16	#fc2	#17a	#17a					https://ja.mstdn.wiki/?curid=2619			data:image/webp;base64,UklGRlIBAABXRUJQVlA4WAoAAAAQAAAADwAADwAAQUxQSEoAAAABYBNJsqq1+h1gijGTAdT0Qw6/hnv4UUFETABgBN6lbwKY2O0ZJrtNLMruMTbET9ofEdEDRuyJ9gfpk8FldC/BwW6fAIqhvxwbAFZQOCDiAAAAkAQAnQEqEAAQAAHALCWwAnQ9gDgAPKu9jf9oPRyd6Vos+bCzbtux6oTo8diAAP7rxEP5+YM30uWjG7WaCv06cvArc4JWw8q8p0LyAIqQ4trE/vI4OF8uyYcJXlXL3XC3WPoNEkX43TV6s2y4O4J1e5mb/C/3kM2fiknOo9wb2PyZANDzAKH2/3vke/sySKs0hmyDl/uB3hxwvlxn5///KrhL+mu9HOMXhHHF9hzHDPar/9/t1VxmH4wWtF6vuIHZqqz15B7+0lRF1z9gjqJz3Pe/jTIH1hk1IdUrjHZoyAAAAA==
16	0			Gab Social	16	#0d7	#333	#333					https://ja.mstdn.wiki/?curid=2545			data:image/webp;base64,UklGRjYBAABXRUJQVlA4WAoAAAAQAAAADwAADwAAQUxQSIcAAAABgGLb2rLsmQGLxGIIDpkxWKSRHRqLTnToTiK5QyL57+7Zm8sN7/PMISImgNTg4mJo96ZSPmL3oT4CA2YAua3oAOyZtV0pDrwTEd0KaeBY6Qt+AMqbQABeEpE7SDnIHJWU10OgxZGh2EzSHGgI7A8Q5/Qbj8b5AID4Afiy8Mq1SY6NjpZVB6kAVlA4IIgAAACwAgCdASoQABAAAcAsJbACdDXAOkAIh0rn0scGfpgA/o1A34xoVn9v5XfnFbqIzPuixt/qzYQQYdhqjTjUZZFOwfXPPSg8LSdYOjyZ78OyImA7R1ArWcW9+BE//a/8wsntv+ICDnH//2sIV/+s3T2r//KZ/65/Vw0Be7sZ//bH/fuu0wbukAAA
17	0			Hubzilla	16	#fff	#779	#779					https://zotlabs.org/page/hubzilla/hubzilla-project			data:image/webp;base64,UklGRvQAAABXRUJQVlA4WAoAAAAQAAAADwAADwAAQUxQSJkAAAABgGLb2rLl+d3d/+QuzaXhnliMAhLJYQBUn4BrcrJV+l9xd7nI+75jiIgJIEGVV06iusln3I7LeZIt/J/k1YH5FeAMsNDD6eO0Uf7wfj+WWv9kXBps1wDu53y93wDeuqgb/ytE1drBdJqoiZEhkq3Sf/kJgNqEhrLDDDKNzPerG3bnnk9DDHYDgAWhegCbQtJFnGWFiJxK+g8AVlA4IDQAAABwAQCdASoQABAAAcAsJbACdAGIQAD+8QqPUzH/XEWX/EF4W1Pd+IeDuhX3l0pGYjaJIAAA
18	0			Prismo	16	#fff	#1ab	#1ab					https://ja.mstdn.wiki/?curid=2357			data:image/webp;base64,UklGRjwBAABXRUJQVlA4WAoAAAAQAAAADwAADwAAQUxQSEYAAAABHyAQSPanzGSNiIgGrCJJdjL1+MqoQAJS7t4jIySawA+SsoJXeIjo/wTwvwGjAZeCFmyyM4oYJxKqSOlNIvlhP2hTOAN8VlA4INAAAACwAwCdASoQABAAAcAsJQBdgN4z5QWoB/A/5F/jOAd/QAs/SPzM0ADaGTcNygQmERLz5cLbctyDY5MaGXr9P3FQWKwR7DCt39/4DTTlRxaX8X0R9aB4w12yH9/4n/baX+jEGooGT08wbSj8Bf+jcT+yqt3xBpXzf2uK/05wn3/a31g5chtPlzf/hdklGv1LZ7pawi00nQjmKCvKlTabkrfW4pEeg8tv4Rw3//gSK9l881ae35FGXBo74xY6Hf7TR77nnCt+UHItmN2Na79sA4AA
19	0			Juick	16	#fff	#069	#079					https://juick.com/			data:image/webp;base64,UklGRpwAAABXRUJQVlA4IJAAAACQAgCdASoQABAAAcAsJbACxJUBfAAKYa95LZm0sAD+/sLL7cX7L/uxc8kuGrxT6dN6Eh85iuY7XdgBy/43dkWQ0//4QGBkzpg76v3mT+kzvDelZD2N8nvd+1bqf/HgJhcJV+sqlj1cEI9cPJWvCMKEuQgQpDow/NUZEu9WJZOb5QiInzsAeZ6mxfWVP6UAAAA=
20	0															
21	0			Lemmy	16	#fff	#094	#094					https://join-lemmy.org/			data:image/webp;base64,UklGRugAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSHkAAAABcFtr25q8kQrr3G0Bd5jARslJh7V0rvMkJYfeN3DporhtEBETgP/S2ndaGo4xX3cF86WYt8aPHeXrVZ5vBPGwlq/XMqtcP1RY4+Dw7jAwgmKUVwpDAchdXp3SAAxNTngSuIYGoG356eJ6nU0KNgoA0olAp+1LpPFvAFZQOCBIAAAAkAEAnQEqDgAOAARAcCWkAALn8arAAP6xAXkliaxZumMdD1TEg5WRKk/5jcBNyYxlLtAoU16xSho9GEo7/tJHVTUq1ugqQgAA
22	0			Meow.fan	16	#111	#fff	#fff					https://meow.fan			data:image/webp;base64,UklGRtgAAABXRUJQVlA4WAoAAAAQAAAADwAADwAAQUxQSH4AAAABgFtt27LmYQHGcR9CayZwd2kpoaKGv8TdJZ7KPb0nledp8AkiYgKwcWXAa1nuiWRKsALIHx95gTvOLeKVJEfYmcdPzvUKCxa2HasIIPnxs0QWz+Rhek6NZATH5AAPJDtqkhJkyBz0Fyf3APmIubYrAAWL2CCaZ6wCuEpgKwFWUDggNAAAANABAJ0BKhAAEAAPwP4lpAACBjxzMoYAAMltWgrLIh5TvvvGj8bkSg7uprsfCsrwa6HwAAA=
23																
24																
25																
26																
27																
28																
29																
30																
31																
32																
33																
34																
35																
36																
37																
38																
39																
40																
41																
42																
43																
44																
45																
46																
47																
48																
49																
50																
51																
52																
53																
54																
55																
56																
57																
58																
59																
